ward,precinct,office,district,party,candidate,votes
2,2,ANC - 2A08 SINGLE MEMBER DISTRICT 08-ANC 2A,,,OVER VOTES,0
2,2,ANC - 2A08 SINGLE MEMBER DISTRICT 08-ANC 2A,,,UNDER VOTES,207
2,3,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,41
2,3,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,30
2,3,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,219
2,3,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1403
2,3,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,51
2,3,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,2
2,3,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,7
2,3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,96
2,3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1328
2,3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,204
2,3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,23
2,3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
2,3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,101
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,103
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,117
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,159
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,331
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,543
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1048
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,16
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
2,3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1147
2,3,WARD TWO MEMBER OF THE COUNCIL,,DEM,Jack Evans,1404
2,3,WARD TWO MEMBER OF THE COUNCIL,,NON,WRITE-IN,58
2,3,WARD TWO MEMBER OF THE COUNCIL,,,OVER VOTES,1
2,3,WARD TWO MEMBER OF THE COUNCIL,,,UNDER VOTES,269
2,3,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,640
2,3,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,154
2,3,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,407
2,3,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,31
2,3,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,4
2,3,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,496
2,3,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,Jack Jacobson,1174
2,3,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,36
2,3,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,1
2,3,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,521
2,3,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,NON,Matthew Chwastek,120
2,3,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,NON,Marco Guzman,188
2,3,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,NON,WRITE-IN,10
2,3,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,,OVER VOTES,0
2,3,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,,UNDER VOTES,152
2,3,ANC - 2A04 SINGLE MEMBER DISTRICT 04-ANC 2A,,NON,William K. Smith,603
2,3,ANC - 2A04 SINGLE MEMBER DISTRICT 04-ANC 2A,,NON,WRITE-IN,34
2,3,ANC - 2A04 SINGLE MEMBER DISTRICT 04-ANC 2A,,,OVER VOTES,1
2,3,ANC - 2A04 SINGLE MEMBER DISTRICT 04-ANC 2A,,,UNDER VOTES,166
2,3,ANC - 2A05 SINGLE MEMBER DISTRICT 05-ANC 2A,,NON,Philip J. Schrefer,338
2,3,ANC - 2A05 SINGLE MEMBER DISTRICT 05-ANC 2A,,NON,WRITE-IN,5
2,3,ANC - 2A05 SINGLE MEMBER DISTRICT 05-ANC 2A,,,OVER VOTES,0
2,3,ANC - 2A05 SINGLE MEMBER DISTRICT 05-ANC 2A,,,UNDER VOTES,115
2,3,ANC - 2A07 SINGLE MEMBER DISTRICT 07-ANC 2A,,NON,Detrick Campbell,0
2,3,ANC - 2A07 SINGLE MEMBER DISTRICT 07-ANC 2A,,NON,WRITE-IN,0
2,3,ANC - 2A07 SINGLE MEMBER DISTRICT 07-ANC 2A,,,OVER VOTES,0
2,3,ANC - 2A07 SINGLE MEMBER DISTRICT 07-ANC 2A,,,UNDER VOTES,0
2,4,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,46
2,4,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,27
2,4,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,199
2,4,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1836
2,4,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,62
2,4,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
2,4,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,6
2,4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,103
2,4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1656
2,4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,253
2,4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,24
2,4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
2,4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,140
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,157
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,146
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,189
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,433
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,658
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1346
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,22
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,2
2,4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1351
2,4,WARD TWO MEMBER OF THE COUNCIL,,DEM,Jack Evans,1789
2,4,WARD TWO MEMBER OF THE COUNCIL,,NON,WRITE-IN,58
2,4,WARD TWO MEMBER OF THE COUNCIL,,,OVER VOTES,0
2,4,WARD TWO MEMBER OF THE COUNCIL,,,UNDER VOTES,305
2,4,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,752
2,4,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,174
2,4,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,532
2,4,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,32
2,4,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,3
2,4,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,659
2,4,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,Jack Jacobson,1505
2,4,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,33
2,4,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
2,4,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,614
2,4,ANC - 2A02 SINGLE MEMBER DISTRICT 02-ANC 2A,,NON,Rebecca Coder,624
2,4,ANC - 2A02 SINGLE MEMBER DISTRICT 02-ANC 2A,,NON,WRITE-IN,18
2,4,ANC - 2A02 SINGLE MEMBER DISTRICT 02-ANC 2A,,,OVER VOTES,0
2,4,ANC - 2A02 SINGLE MEMBER DISTRICT 02-ANC 2A,,,UNDER VOTES,235
2,4,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,NON,Matthew Chwastek,61
2,4,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,NON,Marco Guzman,94
2,4,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,NON,WRITE-IN,9
2,4,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,,OVER VOTES,0
2,4,ANC - 2A03 SINGLE MEMBER DISTRICT 03-ANC 2A,,,UNDER VOTES,79
2,4,ANC - 2A06 SINGLE MEMBER DISTRICT 06-ANC 2A,,NON,Florence E. Harmon,528
2,4,ANC - 2A06 SINGLE MEMBER DISTRICT 06-ANC 2A,,NON,WRITE-IN,9
2,4,ANC - 2A06 SINGLE MEMBER DISTRICT 06-ANC 2A,,,OVER VOTES,0
2,4,ANC - 2A06 SINGLE MEMBER DISTRICT 06-ANC 2A,,,UNDER VOTES,185
2,4,ANC - 2B06 SINGLE MEMBER DISTRICT 06-ANC 2B,,NON,Mike Silverstein,230
2,4,ANC - 2B06 SINGLE MEMBER DISTRICT 06-ANC 2B,,NON,WRITE-IN,8
2,4,ANC - 2B06 SINGLE MEMBER DISTRICT 06-ANC 2B,,,OVER VOTES,0
2,4,ANC - 2B06 SINGLE MEMBER DISTRICT 06-ANC 2B,,,UNDER VOTES,72
2,5,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,91
2,5,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,30
2,5,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,269
2,5,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2140
2,5,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,119
2,5,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,1
2,5,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,11
2,5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,139
2,5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1950
2,5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,361
2,5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,34
2,5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
2,5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,177
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,170
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,111
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,217
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,677
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,815
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1472
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,23
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
2,5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1755
2,5,WARD TWO MEMBER OF THE COUNCIL,,DEM,Jack Evans,2192
2,5,WARD TWO MEMBER OF THE COUNCIL,,NON,WRITE-IN,104
2,5,WARD TWO MEMBER OF THE COUNCIL,,,OVER VOTES,0
2,5,WARD TWO MEMBER OF THE COUNCIL,,,UNDER VOTES,324
2,5,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,861
2,5,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,198
2,5,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,675
2,5,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,36
2,5,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,5
2,5,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,845
2,5,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,Jack Jacobson,1690
2,5,WARD TWO MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,31
2,5,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
2,5,WARD TWO MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,899
2,5,ANC - 2E02 SINGLE MEMBER DISTRICT 02-ANC 2E,,NON,Joe Gibbons,92
2,5,ANC - 2E02 SINGLE MEMBER DISTRICT 02-ANC 2E,,NON,WRITE-IN,1
2,5,ANC - 2E02 SINGLE MEMBER DISTRICT 02-ANC 2E,,,OVER VOTES,0
2,5,ANC - 2E02 SINGLE MEMBER DISTRICT 02-ANC 2E,,,UNDER VOTES,36
2,5,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,NON,Rick Murphy,96
2,5,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,NON,Greg Miller,22
2,5,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,NON,WRITE-IN,2
2,5,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,,OVER VOTES,0
2,5,ANC - 2E03 SINGLE MEMBER DISTRICT 03-ANC 2E,,,UNDER VOTES,45
2,5,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,NON,Bill Starrels,87
2,5,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,NON,Lisa Palmer,128
2,5,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,NON,WRITE-IN,3
2,5,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,,OVER VOTES,0
2,5,ANC - 2E05 SINGLE MEMBER DISTRICT 05-ANC 2E,,,UNDER VOTES,43
2,5,ANC - 2E06 SINGLE MEMBER DISTRICT 06-ANC 2E,,NON,Jim Wilcox,722
2,5,ANC - 2E06 SINGLE MEMBER DISTRICT 06-ANC 2E,,NON,WRITE-IN,20
2,5,ANC - 2E06 SINGLE MEMBER DISTRICT 06-ANC 2E,,,OVER VOTES,0
2,5,ANC - 2E06 SINGLE MEMBER DISTRICT 06-ANC 2E,,,UNDER VOTES,245
2,5,ANC - 2E07 SINGLE MEMBER DISTRICT 07-ANC 2E,,NON,Monica L. Roachͩ,803
2,5,ANC - 2E07 SINGLE MEMBER DISTRICT 07-ANC 2E,,NON,WRITE-IN,20
2,5,ANC - 2E07 SINGLE MEMBER DISTRICT 07-ANC 2E,,,OVER VOTES,1
2,5,ANC - 2E07 SINGLE MEMBER DISTRICT 07-ANC 2E,,,UNDER VOTES,254
2,6,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,85
2,6,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,29
2,6,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,309
