county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-09,U.S. Senator,,L,"KOKOSKI, Michael A.",5,2,10,17
County of Hawaii,01-09,U.S. Senator,,R,"CARROLL, John",65,20,97,182
County of Hawaii,01-09,U.S. Representative,2,D,"GABBARD, Tulsi",480,116,372,968
County of Hawaii,01-09,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",61,19,98,178
County of Hawaii,01-09,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",503,124,384,1011
County of Hawaii,01-09,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",43,11,73,127
County of Hawaii,01-09,State Representative,1,D,"NAKASHIMA, Mark M.",470,107,297,874
County of Hawaii,01-09,State Representative,1,R,"YOUNG, Byron",63,27,140,230
County of Hawaii,02-01,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",31,18,59,108
County of Hawaii,02-01,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",30,9,30,69
County of Hawaii,02-01,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",233,83,158,474
County of Hawaii,02-01,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",874,258,474,1606
County of Hawaii,02-01,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",17,4,9,30
County of Hawaii,02-01,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",4,4,6,14
County of Hawaii,02-01,U.S. Senator,,C,"ALLISON, Joy J.",24,7,36,67
County of Hawaii,02-01,U.S. Senator,,D,"SCHATZ, Brian",970,281,522,1773
County of Hawaii,02-01,U.S. Senator,,L,"KOKOSKI, Michael A.",14,7,20,41
County of Hawaii,02-01,U.S. Senator,,R,"CARROLL, John",154,55,109,318
County of Hawaii,02-01,U.S. Representative,2,D,"GABBARD, Tulsi",971,304,576,1851
County of Hawaii,02-01,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",163,56,119,338
County of Hawaii,02-01,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",989,294,586,1869
County of Hawaii,02-01,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",136,51,99,286
County of Hawaii,02-02,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",8,11,21,40
County of Hawaii,02-02,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",21,8,20,49
County of Hawaii,02-02,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",67,36,89,192
County of Hawaii,02-02,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",266,103,242,611
County of Hawaii,02-02,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",7,0,10,17
County of Hawaii,02-02,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,1,2,3
County of Hawaii,02-02,U.S. Senator,,C,"ALLISON, Joy J.",6,10,25,41
County of Hawaii,02-02,U.S. Senator,,D,"SCHATZ, Brian",301,113,262,676
County of Hawaii,02-02,U.S. Senator,,L,"KOKOSKI, Michael A.",3,4,14,21
County of Hawaii,02-02,U.S. Senator,,R,"CARROLL, John",51,25,64,140
County of Hawaii,02-02,U.S. Representative,2,D,"GABBARD, Tulsi",294,131,285,710
County of Hawaii,02-02,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",58,19,76,153
County of Hawaii,02-02,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",309,128,299,736
County of Hawaii,02-02,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",46,23,71,140
County of Hawaii,02-03,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",10,3,24,37
County of Hawaii,02-03,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",5,5,12,22
County of Hawaii,02-03,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",47,19,97,163
County of Hawaii,02-03,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",194,79,329,602
County of Hawaii,02-03,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",4,1,9,14
County of Hawaii,02-03,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,1,1
County of Hawaii,02-03,U.S. Senator,,C,"ALLISON, Joy J.",3,6,25,34
County of Hawaii,02-03,U.S. Senator,,D,"SCHATZ, Brian",224,81,377,682
County of Hawaii,02-03,U.S. Senator,,L,"KOKOSKI, Michael A.",5,2,6,13
County of Hawaii,02-03,U.S. Senator,,R,"CARROLL, John",26,16,54,96
County of Hawaii,02-03,U.S. Representative,2,D,"GABBARD, Tulsi",221,74,379,674
County of Hawaii,02-03,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",37,23,82,142
County of Hawaii,02-03,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",231,91,429,751
County of Hawaii,02-03,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",24,9,42,75
County of Hawaii,02-04,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",35,10,38,83
County of Hawaii,02-04,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",67,20,53,140
County of Hawaii,02-04,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",354,127,263,744
County of Hawaii,02-04,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",1275,322,675,2272
County of Hawaii,02-04,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",22,1,20,43
County of Hawaii,02-04,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",2,1,0,3
County of Hawaii,02-04,U.S. Senator,,C,"ALLISON, Joy J.",9,7,28,44
County of Hawaii,02-04,U.S. Senator,,D,"SCHATZ, Brian",1500,364,813,2677
County of Hawaii,02-04,U.S. Senator,,L,"KOKOSKI, Michael A.",17,2,18,37
County of Hawaii,02-04,U.S. Senator,,R,"CARROLL, John",207,95,151,453
County of Hawaii,02-04,U.S. Representative,2,D,"GABBARD, Tulsi",1478,364,861,2703
County of Hawaii,02-04,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",188,86,146,420
County of Hawaii,02-04,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",1536,404,887,2827
County of Hawaii,02-04,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",166,61,108,335
County of Hawaii,02-05,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",20,3,14,37
County of Hawaii,02-05,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",33,11,38,82
County of Hawaii,02-05,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",212,67,133,412
County of Hawaii,02-05,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",963,266,441,1670
County of Hawaii,02-05,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",15,4,10,29
County of Hawaii,02-05,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,2,3,5
County of Hawaii,02-05,U.S. Senator,,C,"ALLISON, Joy J.",11,2,11,24
County of Hawaii,02-05,U.S. Senator,,D,"SCHATZ, Brian",1076,296,528,1900
County of Hawaii,02-05,U.S. Senator,,L,"KOKOSKI, Michael A.",8,5,7,20
County of Hawaii,02-05,U.S. Senator,,R,"CARROLL, John",128,48,74,250
County of Hawaii,02-05,U.S. Representative,2,D,"GABBARD, Tulsi",1029,312,551,1892
County of Hawaii,02-05,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",123,26,69,218
County of Hawaii,02-05,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",1087,307,551,1945
County of Hawaii,02-05,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",93,31,64,188
County of Hawaii,03-01,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",29,4,31,64
County of Hawaii,03-01,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",41,12,41,94
County of Hawaii,03-01,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",261,82,254,597
County of Hawaii,03-01,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",910,229,546,1685
County of Hawaii,03-01,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",17,2,15,34
County of Hawaii,03-01,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",1,2,1,4
County of Hawaii,03-01,U.S. Senator,,C,"ALLISON, Joy J.",11,8,26,45
County of Hawaii,03-01,U.S. Senator,,D,"SCHATZ, Brian",1063,266,672,2001
County of Hawaii,03-01,U.S. Senator,,L,"KOKOSKI, Michael A.",14,4,13,31
County of Hawaii,03-01,U.S. Senator,,R,"CARROLL, John",160,42,147,349
County of Hawaii,03-01,U.S. Representative,2,D,"GABBARD, Tulsi",1059,261,712,2032
County of Hawaii,03-01,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",144,48,149,341
County of Hawaii,03-01,State Senator,1 Vacancy,D,"KAHELE, Kaiali'i",1109,277,758,2144
County of Hawaii,03-01,State Senator,1 Vacancy,L,"ARIANOFF, Kimberly",84,33,85,202
County of Hawaii,03-01,State Representative,3,D,"ONISHI, Richard H.K.",1081,247,698,2026
County of Hawaii,03-01,State Representative,3,G,"PISCIOTTA, Kealoha",76,30,77,183
County of Hawaii,03-01,State Representative,3,L,"ARIANOFF, Gregory",66,24,64,154
County of Hawaii,03-02,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",13,0,1,14
County of Hawaii,03-02,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",7,2,1,10
County of Hawaii,03-02,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",28,6,28,62
County of Hawaii,03-02,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",103,18,81,202
County of Hawaii,03-02,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",0,0,2,2
County of Hawaii,03-02,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,1,1
County of Hawaii,03-02,U.S. Senator,,C,"ALLISON, Joy J.",4,0,4,8
County of Hawaii,03-02,U.S. Senator,,D,"SCHATZ, Brian",120,25,87,232
County of Hawaii,03-02,U.S. Senator,,L,"KOKOSKI, Michael A.",2,0,0,2
County of Hawaii,03-02,U.S. Senator,,R,"CARROLL, John",22,2,18,42
County of Hawaii,03-02,U.S. Representative,2,D,"GABBARD, Tulsi",126,26,91,243
County of Hawaii,03-02,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",17,2,16,35
County of Hawaii,03-02,State Senator,2 ,D,"RUDERMAN, Russell E.",109,23,92,224
County of Hawaii,03-02,State Senator,2 ,L,"FOGEL, Frederick F.",24,4,13,41
County of Hawaii,03-02,State Representative,3,D,"ONISHI, Richard H.K.",121,22,92,235
County of Hawaii,03-02,State Representative,3,G,"PISCIOTTA, Kealoha",16,2,7,25
County of Hawaii,03-02,State Representative,3,L,"ARIANOFF, Gregory",6,4,11,21
County of Hawaii,03-03,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",2,0,0,2
County of Hawaii,03-03,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",6,0,0,6
County of Hawaii,03-03,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",37,0,0,37
County of Hawaii,03-03,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",38,3,0,41
County of Hawaii,03-03,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",3,0,0,3
County of Hawaii,03-03,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,0,0
County of Hawaii,03-03,U.S. Senator,,C,"ALLISON, Joy J.",3,0,0,3
County of Hawaii,03-03,U.S. Senator,,D,"SCHATZ, Brian",57,2,0,59
County of Hawaii,03-03,U.S. Senator,,L,"KOKOSKI, Michael A.",0,0,0,0
County of Hawaii,03-03,U.S. Senator,,R,"CARROLL, John",24,0,0,24
County of Hawaii,03-03,U.S. Representative,2,D,"GABBARD, Tulsi",68,1,0,69
County of Hawaii,03-03,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",17,1,0,18
County of Hawaii,03-03,State Senator,2 ,D,"RUDERMAN, Russell E.",64,2,0,66
County of Hawaii,03-03,State Senator,2 ,L,"FOGEL, Frederick F.",20,1,0,21
County of Hawaii,03-03,State Representative,3,D,"ONISHI, Richard H.K.",61,2,0,63
County of Hawaii,03-03,State Representative,3,G,"PISCIOTTA, Kealoha",8,0,0,8
County of Hawaii,03-03,State Representative,3,L,"ARIANOFF, Gregory",12,0,0,12
County of Hawaii,03-04,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",61,18,70,149
County of Hawaii,03-04,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",60,21,46,127
County of Hawaii,03-04,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",273,114,307,694
County of Hawaii,03-04,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",747,329,741,1817
County of Hawaii,03-04,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",18,2,19,39
County of Hawaii,03-04,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",5,0,6,11
County of Hawaii,03-04,U.S. Senator,,C,"ALLISON, Joy J.",23,14,40,77
County of Hawaii,03-04,U.S. Senator,,D,"SCHATZ, Brian",866,368,835,2069
County of Hawaii,03-04,U.S. Senator,,L,"KOKOSKI, Michael A.",22,15,30,67
County of Hawaii,03-04,U.S. Senator,,R,"CARROLL, John",218,79,208,505
County of Hawaii,03-04,U.S. Representative,2,D,"GABBARD, Tulsi",940,394,935,2269
County of Hawaii,03-04,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",182,82,197,461
County of Hawaii,03-04,State Senator,2 ,D,"RUDERMAN, Russell E.",883,379,882,2144
County of Hawaii,03-04,State Senator,2 ,L,"FOGEL, Frederick F.",199,85,215,499
County of Hawaii,03-04,State Representative,3,D,"ONISHI, Richard H.K.",767,315,712,1794
County of Hawaii,03-04,State Representative,3,G,"PISCIOTTA, Kealoha",187,86,226,499
County of Hawaii,03-04,State Representative,3,L,"ARIANOFF, Gregory",123,51,125,299
County of Hawaii,03-05,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",23,9,54,86
County of Hawaii,03-05,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",24,5,32,61
County of Hawaii,03-05,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",143,61,222,426
County of Hawaii,03-05,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",415,117,385,917
County of Hawaii,03-05,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",13,1,15,29
County of Hawaii,03-05,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",3,0,9,12
County of Hawaii,03-05,U.S. Senator,,C,"ALLISON, Joy J.",17,7,31,55
County of Hawaii,03-05,U.S. Senator,,D,"SCHATZ, Brian",471,136,464,1071
County of Hawaii,03-05,U.S. Senator,,L,"KOKOSKI, Michael A.",14,5,22,41
County of Hawaii,03-05,U.S. Senator,,R,"CARROLL, John",100,36,152,288
County of Hawaii,03-05,U.S. Representative,2,D,"GABBARD, Tulsi",491,143,524,1158
County of Hawaii,03-05,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",108,42,154,304
County of Hawaii,03-05,State Senator,2 ,D,"RUDERMAN, Russell E.",481,148,487,1116
County of Hawaii,03-05,State Senator,2 ,L,"FOGEL, Frederick F.",102,32,170,304
County of Hawaii,03-05,State Representative,3,D,"ONISHI, Richard H.K.",412,120,391,923
County of Hawaii,03-05,State Representative,3,G,"PISCIOTTA, Kealoha",117,34,160,311
County of Hawaii,03-05,State Representative,3,L,"ARIANOFF, Gregory",52,22,92,166
County of Hawaii,03-06,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",41,6,43,90
County of Hawaii,03-06,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",16,2,18,36
County of Hawaii,03-06,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",99,34,140,273
