county,office,district,town,precinct,candidate,party,votes,state_election_id
Addison,State House,ADD-3,Waltham,,Total Votes Cast,Liberty Union,568,82058
Addison,State House,ADD-4,Bristol,,Fred K. Baser,Republican,1157,82110
Addison,State House,ADD-4,Lincoln,,Fred K. Baser,Republican,370,82110
Addison,State House,ADD-4,Monkton,,Fred K. Baser,Republican,561,82110
Addison,State House,ADD-4,Starksboro,,Fred K. Baser,Republican,442,82110
Addison,State House,ADD-4,Bristol,,Dave Sharpe,Democratic,903,82110
Addison,State House,ADD-4,Lincoln,,Dave Sharpe,Democratic,406,82110
Addison,State House,ADD-4,Monkton,,Dave Sharpe,Democratic,594,82110
Addison,State House,ADD-4,Starksboro,,Dave Sharpe,Democratic,483,82110
Addison,State House,ADD-4,Bristol,,Valerie Mullin,Republican,730,82110
Addison,State House,ADD-4,Lincoln,,Valerie Mullin,Republican,209,82110
Addison,State House,ADD-4,Monkton,,Valerie Mullin,Republican,517,82110
Addison,State House,ADD-4,Starksboro,,Valerie Mullin,Republican,321,82110
Addison,State House,ADD-4,Bristol,,Mari Cordes,Progressive/Democratic,574,82110
Addison,State House,ADD-4,Lincoln,,Mari Cordes,Progressive/Democratic,400,82110
Addison,State House,ADD-4,Monkton,,Mari Cordes,Progressive/Democratic,418,82110
Addison,State House,ADD-4,Starksboro,,Mari Cordes,Progressive/Democratic,366,82110
Addison,State House,ADD-4,Bristol,,Write-ins,,1,82110
Addison,State House,ADD-4,Lincoln,,Write-ins,,3,82110
Addison,State House,ADD-4,Monkton,,Write-ins,,2,82110
Addison,State House,ADD-4,Starksboro,,Write-ins,,1,82110
Addison,State House,ADD-4,Bristol,,Blanks,Liberty Union,539,82110
Addison,State House,ADD-4,Lincoln,,Blanks,Liberty Union,218,82110
Addison,State House,ADD-4,Monkton,,Blanks,Liberty Union,364,82110
Addison,State House,ADD-4,Starksboro,,Blanks,Liberty Union,273,82110
Addison,State House,ADD-4,Bristol,,Spoiled,,0,82110
Addison,State House,ADD-4,Lincoln,,Spoiled,,0,82110
Addison,State House,ADD-4,Monkton,,Spoiled,,0,82110
Addison,State House,ADD-4,Starksboro,,Spoiled,,0,82110
Addison,State House,ADD-4,Bristol,,Total Votes Cast,Liberty Union,3904,82110
Addison,State House,ADD-4,Lincoln,,Total Votes Cast,Liberty Union,1606,82110
Addison,State House,ADD-4,Monkton,,Total Votes Cast,Liberty Union,2456,82110
Addison,State House,ADD-4,Starksboro,,Total Votes Cast,Liberty Union,1886,82110
Addison,State House,ADD-5,Bridport,,Harvey Smith,Republican,402,82108
Addison,State House,ADD-5,New Haven,,Harvey Smith,Republican,581,82108
Addison,State House,ADD-5,Weybridge,,Harvey Smith,Republican,213,82108
Addison,State House,ADD-5,Bridport,,Taborri Bruhl,Democratic,241,82108
Addison,State House,ADD-5,New Haven,,Taborri Bruhl,Democratic,483,82108
Addison,State House,ADD-5,Weybridge,,Taborri Bruhl,Democratic,338,82108
Addison,State House,ADD-5,Bridport,,Write-ins,,1,82108
Addison,State House,ADD-5,New Haven,,Write-ins,,0,82108
Addison,State House,ADD-5,Weybridge,,Write-ins,,0,82108
Addison,State House,ADD-5,Bridport,,Blanks,,19,82108
Addison,State House,ADD-5,New Haven,,Blanks,,34,82108
Addison,State House,ADD-5,Weybridge,,Blanks,,16,82108
Addison,State House,ADD-5,Bridport,,Spoiled,,0,82108
Addison,State House,ADD-5,New Haven,,Spoiled,,1,82108
Addison,State House,ADD-5,Weybridge,,Spoiled,,0,82108
Addison,State House,ADD-5,Bridport,,Total Votes Cast,Liberty Union,663,82108
Addison,State House,ADD-5,New Haven,,Total Votes Cast,Liberty Union,1099,82108
Addison,State House,ADD-5,Weybridge,,Total Votes Cast,Liberty Union,567,82108
Rutland,State House,ADD-RUT,Benson,,Alyson Eastman,Independent,429,82090
Addison,State House,ADD-RUT,Orwell,,Alyson Eastman,Independent,589,82090
Addison,State House,ADD-RUT,Shoreham,,Alyson Eastman,Independent,545,82090
Addison,State House,ADD-RUT,Whiting,,Alyson Eastman,Independent,159,82090
Rutland,State House,ADD-RUT,Benson,,Write-ins,,11,82090
Addison,State House,ADD-RUT,Orwell,,Write-ins,,13,82090
Addison,State House,ADD-RUT,Shoreham,,Write-ins,,7,82090
Addison,State House,ADD-RUT,Whiting,,Write-ins,,3,82090
Rutland,State House,ADD-RUT,Benson,,Blanks,,70,82090
Addison,State House,ADD-RUT,Orwell,,Blanks,,56,82090
Addison,State House,ADD-RUT,Shoreham,,Blanks,,107,82090
Addison,State House,ADD-RUT,Whiting,,Blanks,,37,82090
Rutland,State House,ADD-RUT,Benson,,Spoiled,,2,82090
Addison,State House,ADD-RUT,Orwell,,Spoiled,,6,82090
Addison,State House,ADD-RUT,Shoreham,,Spoiled,,0,82090
Addison,State House,ADD-RUT,Whiting,,Spoiled,,0,82090
Rutland,State House,ADD-RUT,Benson,,Total Votes Cast,Liberty Union,512,82090
Addison,State House,ADD-RUT,Orwell,,Total Votes Cast,Liberty Union,664,82090
Addison,State House,ADD-RUT,Shoreham,,Total Votes Cast,Liberty Union,659,82090
Addison,State House,ADD-RUT,Whiting,,Total Votes Cast,Liberty Union,199,82090
Bennington,State House,BEN-1,Pownal,,Bill Botzow,Democratic,1343,82166
Bennington,State House,BEN-1,Woodford,,Bill Botzow,Democratic,160,82166
Bennington,State House,BEN-1,Pownal,,James A. O Connor,Independent,260,82166
Bennington,State House,BEN-1,Woodford,,James A. O Connor,Independent,16,82166
Bennington,State House,BEN-1,Pownal,,Write-ins,,0,82166
Bennington,State House,BEN-1,Woodford,,Write-ins,,0,82166
Bennington,State House,BEN-1,Pownal,,Blanks,,50,82166
Bennington,State House,BEN-1,Woodford,,Blanks,,7,82166
Bennington,State House,BEN-1,Pownal,,Spoiled,,0,82166
Bennington,State House,BEN-1,Woodford,,Spoiled,,0,82166
Bennington,State House,BEN-1,Pownal,,Total Votes Cast,Liberty Union,1653,82166
Bennington,State House,BEN-1,Woodford,,Total Votes Cast,Liberty Union,183,82166
Bennington,State House,BEN-2-1,Bennington,,Timothy R. Corcoran. II,Democratic,2316,82087
Bennington,State House,BEN-2-1,Bennington,,Rachael Fields,Democratic,1870,82087
Bennington,State House,BEN-2-1,Bennington,,Write-ins,,61,82087
Bennington,State House,BEN-2-1,Bennington,,Blanks,Liberty Union,1997,82087
Bennington,State House,BEN-2-1,Bennington,,Spoiled,,0,82087
Bennington,State House,BEN-2-1,Bennington,,Total Votes Cast,Liberty Union,6244,82087
Bennington,State House,BEN-2-2,Bennington,,Mary A. Morrissey,Republican,2143,82088
Bennington,State House,BEN-2-2,Bennington,,Kiah Morris,Democratic,1757,82088
Bennington,State House,BEN-2-2,Bennington,,Write-ins,,24,82088
Bennington,State House,BEN-2-2,Bennington,,Blanks,Liberty Union,2174,82088
Bennington,State House,BEN-2-2,Bennington,,Spoiled,,0,82088
Bennington,State House,BEN-2-2,Bennington,,Total Votes Cast,Liberty Union,6098,82088
Bennington,State House,BEN-3,Shaftsbury,,Alice Miller,Democratic,1427,82178
Bennington,State House,BEN-3,Sunderland,,Alice Miller,Democratic,90,82178
Bennington,State House,BEN-3,Shaftsbury,,Write-ins,,44,82178
Bennington,State House,BEN-3,Sunderland,,Write-ins,,0,82178
Bennington,State House,BEN-3,Shaftsbury,,Blanks,,382,82178
Bennington,State House,BEN-3,Sunderland,,Blanks,,29,82178
Bennington,State House,BEN-3,Shaftsbury,,Spoiled,,0,82178
Bennington,State House,BEN-3,Sunderland,,Spoiled,,0,82178
Bennington,State House,BEN-3,Shaftsbury,,Total Votes Cast,Liberty Union,1853,82178
Bennington,State House,BEN-3,Sunderland,,Total Votes Cast,Liberty Union,119,82178
Bennington,State House,BEN-4,Arlington,,Brian Keefe,Republican,609,82070
Bennington,State House,BEN-4,Manchester,,Brian Keefe,Republican,1374,82070
Bennington,State House,BEN-4,Sandgate,,Brian Keefe,Republican,108,82070
Bennington,State House,BEN-4,Sunderland,,Brian Keefe,Republican,206,82070
Bennington,State House,BEN-4,Arlington,,Cynthia Browning,Democratic,776,82070
Bennington,State House,BEN-4,Manchester,,Cynthia Browning,Democratic,972,82070
Bennington,State House,BEN-4,Sandgate,,Cynthia Browning,Democratic,139,82070
Bennington,State House,BEN-4,Sunderland,,Cynthia Browning,Democratic,208,82070
Bennington,State House,BEN-4,Arlington,,Steve Berry,Democratic,562,82070
Bennington,State House,BEN-4,Manchester,,Steve Berry,Democratic,1193,82070
Bennington,State House,BEN-4,Sandgate,,Steve Berry,Democratic,79,82070
Bennington,State House,BEN-4,Sunderland,,Steve Berry,Democratic,164,82070
Bennington,State House,BEN-4,Arlington,,Write-ins,,5,82070
Bennington,State House,BEN-4,Manchester,,Write-ins,,11,82070
Bennington,State House,BEN-4,Sandgate,,Write-ins,,1,82070
Bennington,State House,BEN-4,Sunderland,,Write-ins,,0,82070
Bennington,State House,BEN-4,Arlington,,Blanks,Liberty Union,631,82070
Bennington,State House,BEN-4,Manchester,,Blanks,Liberty Union,1339,82070
Bennington,State House,BEN-4,Sandgate,,Blanks,Liberty Union,111,82070
Bennington,State House,BEN-4,Sunderland,,Blanks,Liberty Union,238,82070
Bennington,State House,BEN-4,Arlington,,Spoiled,,1,82070
Bennington,State House,BEN-4,Manchester,,Spoiled,,3,82070
Bennington,State House,BEN-4,Sandgate,,Spoiled,,0,82070
Bennington,State House,BEN-4,Sunderland,,Spoiled,,0,82070
Bennington,State House,BEN-4,Arlington,,Total Votes Cast,Liberty Union,2584,82070
Bennington,State House,BEN-4,Manchester,,Total Votes Cast,Liberty Union,4892,82070
Bennington,State House,BEN-4,Sandgate,,Total Votes Cast,Liberty Union,438,82070
Bennington,State House,BEN-4,Sunderland,,Total Votes Cast,Liberty Union,816,82070
Rutland,State House,BEN-RUT,Danby,,Linda Joy Sullivan,Democratic,287,82135
Bennington,State House,BEN-RUT,Dorset,,Linda Joy Sullivan,Democratic,681,82135
Bennington,State House,BEN-RUT,Landgrove,,Linda Joy Sullivan,Democratic,49,82135
Rutland,State House,BEN-RUT,Mount Tabor,,Linda Joy Sullivan,Democratic,47,82135
Bennington,State House,BEN-RUT,Peru,,Linda Joy Sullivan,Democratic,141,82135
Rutland,State House,BEN-RUT,Danby,,John. Jack. Stannard,Republican,342,82135
Bennington,State House,BEN-RUT,Dorset,,John. Jack. Stannard,Republican,448,82135
Bennington,State House,BEN-RUT,Landgrove,,John. Jack. Stannard,Republican,49,82135
Rutland,State House,BEN-RUT,Mount Tabor,,John. Jack. Stannard,Republican,44,82135
Bennington,State House,BEN-RUT,Peru,,John. Jack. Stannard,Republican,82,82135
Rutland,State House,BEN-RUT,Danby,,Write-ins,,0,82135
Bennington,State House,BEN-RUT,Dorset,,Write-ins,,5,82135
Bennington,State House,BEN-RUT,Landgrove,,Write-ins,,0,82135
Rutland,State House,BEN-RUT,Mount Tabor,,Write-ins,,0,82135
Bennington,State House,BEN-RUT,Peru,,Write-ins,,0,82135
Rutland,State House,BEN-RUT,Danby,,Blanks,,29,82135
Bennington,State House,BEN-RUT,Dorset,,Blanks,,75,82135
Bennington,State House,BEN-RUT,Landgrove,,Blanks,,7,82135
Rutland,State House,BEN-RUT,Mount Tabor,,Blanks,,4,82135
Bennington,State House,BEN-RUT,Peru,,Blanks,,16,82135
Rutland,State House,BEN-RUT,Danby,,Spoiled,,0,82135
Bennington,State House,BEN-RUT,Dorset,,Spoiled,,0,82135
Bennington,State House,BEN-RUT,Landgrove,,Spoiled,,0,82135
Rutland,State House,BEN-RUT,Mount Tabor,,Spoiled,,0,82135
Bennington,State House,BEN-RUT,Peru,,Spoiled,,0,82135
Rutland,State House,BEN-RUT,Danby,,Total Votes Cast,,658,82135
Bennington,State House,BEN-RUT,Dorset,,Total Votes Cast,,1209,82135
Bennington,State House,BEN-RUT,Landgrove,,Total Votes Cast,,105,82135
Rutland,State House,BEN-RUT,Mount Tabor,,Total Votes Cast,,95,82135
Bennington,State House,BEN-RUT,Peru,,Total Votes Cast,,239,82135
Caledonia,State House,CAL-1,Barnet,,Marcia Robinson Martel,Republican,706,82079
Caledonia,State House,CAL-1,Ryegate,,Marcia Robinson Martel,Republican,438,82079
Caledonia,State House,CAL-1,Waterford,,Marcia Robinson Martel,Republican,655,82079
Caledonia,State House,CAL-1,Barnet,,Write-ins,,38,82079
Caledonia,State House,CAL-1,Ryegate,,Write-ins,,25,82079
Caledonia,State House,CAL-1,Waterford,,Write-ins,,6,82079
Caledonia,State House,CAL-1,Barnet,,Blanks,,1,82079
Caledonia,State House,CAL-1,Ryegate,,Blanks,,106,82079
Caledonia,State House,CAL-1,Waterford,,Blanks,,79,82079
Caledonia,State House,CAL-1,Barnet,,Spoiled,,0,82079
Caledonia,State House,CAL-1,Ryegate,,Spoiled,,2,82079
Caledonia,State House,CAL-1,Waterford,,Spoiled,,3,82079
Caledonia,State House,CAL-1,Barnet,,Total Votes Cast,,745,82079
Caledonia,State House,CAL-1,Ryegate,,Total Votes Cast,,571,82079
Caledonia,State House,CAL-1,Waterford,,Total Votes Cast,,743,82079
Caledonia,State House,CAL-2,Hardwick,,Chip Troiano,Democratic,706,82151
Caledonia,State House,CAL-2,Stannard,,Chip Troiano,Democratic,83,82151
Caledonia,State House,CAL-2,Walden,,Chip Troiano,Democratic,276,82151
Caledonia,State House,CAL-2,Hardwick,,Lawrence W. Hamel,Republican,662,82151
Caledonia,State House,CAL-2,Stannard,,Lawrence W. Hamel,Republican,17,82151
Caledonia,State House,CAL-2,Walden,,Lawrence W. Hamel,Republican,228,82151
Caledonia,State House,CAL-2,Hardwick,,Write-ins,,0,82151
Caledonia,State House,CAL-2,Stannard,,Write-ins,,0,82151
Caledonia,State House,CAL-2,Walden,,Write-ins,,0,82151
Caledonia,State House,CAL-2,Hardwick,,Blanks,,42,82151
Caledonia,State House,CAL-2,Stannard,,Blanks,,3,82151
Caledonia,State House,CAL-2,Walden,,Blanks,,22,82151
Caledonia,State House,CAL-2,Hardwick,,Spoiled,,0,82151
Caledonia,State House,CAL-2,Stannard,,Spoiled,,0,82151
Caledonia,State House,CAL-2,Walden,,Spoiled,,1,82151
Caledonia,State House,CAL-2,Hardwick,,Total Votes Cast,,1410,82151
Caledonia,State House,CAL-2,Stannard,,Total Votes Cast,,103,82151
Caledonia,State House,CAL-2,Walden,,Total Votes Cast,,527,82151
Caledonia,State House,CAL-3,Saint Johnsbury,,Scott Beck,Republican,1655,82177
Caledonia,State House,CAL-3,Saint Johnsbury,,Janssen Willhoit,Republican,1234,82177
Caledonia,State House,CAL-3,Saint Johnsbury,,Scott Campbell,Democratic,1155,82177
Caledonia,State House,CAL-3,Saint Johnsbury,,Philip Aldridge,Independent,722,82177
Caledonia,State House,CAL-3,Saint Johnsbury,,Corey Raynor,Democratic,461,82177
Caledonia,State House,CAL-3,Saint Johnsbury,,Write-ins,,8,82177
Caledonia,State House,CAL-3,Saint Johnsbury,,Blanks,,865,82177
Caledonia,State House,CAL-3,Saint Johnsbury,,Spoiled,,4,82177
Caledonia,State House,CAL-3,Saint Johnsbury,,Total Votes Cast,,6104,82177
Caledonia,State House,CAL-4,Burke,,Martha. Marty. Feltus,Republican,449,82113
Caledonia,State House,CAL-4,Lyndon,,Martha. Marty. Feltus,Republican,1269,82113
Caledonia,State House,CAL-4,Sutton,,Martha. Marty. Feltus,Republican,175,82113
Caledonia,State House,CAL-4,Burke,,Richard Lawrence,Republican,416,82113
Caledonia,State House,CAL-4,Lyndon,,Richard Lawrence,Republican,1256,82113
Caledonia,State House,CAL-4,Sutton,,Richard Lawrence,Republican,214,82113
Caledonia,State House,CAL-4,Burke,,Patrick Seymour,Democratic,385,82113
Caledonia,State House,CAL-4,Lyndon,,Patrick Seymour,Democratic,792,82113
Caledonia,State House,CAL-4,Sutton,,Patrick Seymour,Democratic,313,82113
Caledonia,State House,CAL-4,Burke,,Write-ins,,1,82113
Caledonia,State House,CAL-4,Lyndon,,Write-ins,,20,82113
Caledonia,State House,CAL-4,Sutton,,Write-ins,,2,82113
Caledonia,State House,CAL-4,Burke,,Blanks,,415,82113
Caledonia,State House,CAL-4,Lyndon,,Blanks,,833,82113
Caledonia,State House,CAL-4,Sutton,,Blanks,,225,82113
Caledonia,State House,CAL-4,Burke,,Spoiled,,0,82113
Caledonia,State House,CAL-4,Lyndon,,Spoiled,,0,82113
Caledonia,State House,CAL-4,Sutton,,Spoiled,,1,82113
Caledonia,State House,CAL-4,Burke,,Total Votes Cast,,1666,82113
Caledonia,State House,CAL-4,Lyndon,,Total Votes Cast,,4170,82113
Caledonia,State House,CAL-4,Sutton,,Total Votes Cast,,930,82113
Washington,State House,CAL-WAS,Cabot,,Kitty Beattie Toll,Democratic,518,82121
Caledonia,State House,CAL-WAS,Danville,,Kitty Beattie Toll,Democratic,722,82121
Caledonia,State House,CAL-WAS,Peacham,,Kitty Beattie Toll,Democratic,311,82121
Washington,State House,CAL-WAS,Cabot,,Craig R. Vance,Republican,259,82121
Caledonia,State House,CAL-WAS,Danville,,Craig R. Vance,Republican,597,82121
Caledonia,State House,CAL-WAS,Peacham,,Craig R. Vance,Republican,163,82121
Washington,State House,CAL-WAS,Cabot,,Write-ins,,1,82121
Caledonia,State House,CAL-WAS,Danville,,Write-ins,,5,82121
Caledonia,State House,CAL-WAS,Peacham,,Write-ins,,1,82121
Washington,State House,CAL-WAS,Cabot,,Blanks,,21,82121
Caledonia,State House,CAL-WAS,Danville,,Blanks,,19,82121
Caledonia,State House,CAL-WAS,Peacham,,Blanks,,7,82121
Washington,State House,CAL-WAS,Cabot,,Spoiled,,0,82121
Caledonia,State House,CAL-WAS,Danville,,Spoiled,,5,82121
Caledonia,State House,CAL-WAS,Peacham,,Spoiled,,0,82121
Washington,State House,CAL-WAS,Cabot,,Total Votes Cast,,799,82121
Caledonia,State House,CAL-WAS,Danville,,Total Votes Cast,,1348,82121
Caledonia,State House,CAL-WAS,Peacham,,Total Votes Cast,,482,82121
Chittenden,State House,CHT-1,Richmond,,Marcia Lawrence Gardner,Democratic,1324,82167
Chittenden,State House,CHT-1,Richmond,,Steve May,Progressive,470,82167
Chittenden,State House,CHT-1,Richmond,,Alex M. Holcomb,Independent,446,82167
Chittenden,State House,CHT-1,Richmond,,Write-ins,,10,82167
Chittenden,State House,CHT-1,Richmond,,Blanks,,312,82167
Chittenden,State House,CHT-1,Richmond,,Spoiled,,2,82167
Chittenden,State House,CHT-1,Richmond,,Total Votes Cast,,2564,82167
Chittenden,State House,CHT-10,Milton,,Donald H. Turner. Jr,Republican,3387,82162
Chittenden,State House,CHT-10,Milton,,Ron Hubert,Republican,2765,82162
Chittenden,State House,CHT-10,Milton,,Write-ins,,83,82162
Chittenden,State House,CHT-10,Milton,,Blanks,,2633,82162
Chittenden,State House,CHT-10,Milton,,Spoiled,,0,82162
Chittenden,State House,CHT-10,Milton,,Total Votes Cast,,8868,82162
Chittenden,State House,CHT-2,Williston,,Jim McCullough,Democratic,2903,82187
Chittenden,State House,CHT-2,Williston,,Terry Macaig,Democratic,2476,82187
Chittenden,State House,CHT-2,Williston,,Joy Limoge,Republican,2171,82187
Chittenden,State House,CHT-2,Williston,,Doug Aitken,Republican,1829,82187
Chittenden,State House,CHT-2,Williston,,David Morris,Independent,457,82187
Chittenden,State House,CHT-2,Williston,,Write-ins,,7,82187
Chittenden,State House,CHT-2,Williston,,Blanks,,1558,82187
Chittenden,State House,CHT-2,Williston,,Spoiled,,17,82187
Chittenden,State House,CHT-2,Williston,,Total Votes Cast,,11418,82187
Chittenden,State House,CHT-3,Jericho,,Trevor Squirrell,Democratic,1674,82157
Chittenden,State House,CHT-3,Underhill,,Trevor Squirrell,Democratic,1107,82157
Chittenden,State House,CHT-3,Jericho,,George Till,Democratic,1796,82157
Chittenden,State House,CHT-3,Underhill,,George Till,Democratic,944,82157
Chittenden,State House,CHT-3,Jericho,,Debbie Rackliff,Republican,1365,82157
Chittenden,State House,CHT-3,Underhill,,Debbie Rackliff,Republican,636,82157
Chittenden,State House,CHT-3,Jericho,,Bill Lawrence,Republican,1098,82157
Chittenden,State House,CHT-3,Underhill,,Bill Lawrence,Republican,778,82157
Chittenden,State House,CHT-3,Jericho,,Write-ins,,5,82157
Chittenden,State House,CHT-3,Underhill,,Write-ins,,4,82157
Chittenden,State House,CHT-3,Jericho,,Blanks,,748,82157
Chittenden,State House,CHT-3,Underhill,,Blanks,,515,82157
Chittenden,State House,CHT-3,Jericho,,Spoiled,,0,82157
Chittenden,State House,CHT-3,Underhill,,Spoiled,,0,82157
Chittenden,State House,CHT-3,Jericho,,Total Votes Cast,,6686,82157
Chittenden,State House,CHT-3,Underhill,,Total Votes Cast,,3984,82157
Chittenden,State House,CHT-4-1,Charlotte,,Mike Yantachka,Democratic,2083,82127
Chittenden,State House,CHT-4-1,Hinesburg,,Mike Yantachka,Democratic,13,82127
Chittenden,State House,CHT-4-1,Charlotte,,Write-ins,,19,82127
Chittenden,State House,CHT-4-1,Hinesburg,,Write-ins,,0,82127
Chittenden,State House,CHT-4-1,Charlotte,,Blanks,,508,82127
Chittenden,State House,CHT-4-1,Hinesburg,,Blanks,,6,82127
Chittenden,State House,CHT-4-1,Charlotte,,Spoiled,,13,82127
Chittenden,State House,CHT-4-1,Hinesburg,,Spoiled,,0,82127
Chittenden,State House,CHT-4-1,Charlotte,,Total Votes Cast,,2623,82127
Chittenden,State House,CHT-4-1,Hinesburg,,Total Votes Cast,,19,82127
Chittenden,State House,CHT-4-2,Hinesburg,,Bill Lippert,Democratic,2085,82154
Chittenden,State House,CHT-4-2,Hinesburg,,Write-ins,,62,82154
Chittenden,State House,CHT-4-2,Hinesburg,,Blanks,,540,82154
Chittenden,State House,CHT-4-2,Hinesburg,,Spoiled,,0,82154
Chittenden,State House,CHT-4-2,Hinesburg,,Total Votes Cast,,2687,82154
Chittenden,State House,CHT-5-1,Shelburne,,Kate Webb,Democratic,2193,82179
Chittenden,State House,CHT-5-1,Shelburne,,Write-ins,,24,82179
Chittenden,State House,CHT-5-1,Shelburne,,Blanks,,465,82179
Chittenden,State House,CHT-5-1,Shelburne,,Spoiled,,0,82179
Chittenden,State House,CHT-5-1,Shelburne,,Total Votes Cast,,2682,82179
